PLOT,SITE,N.MIN,N.INORG,VWC.MEAN,VWC.SD,TEMP.MEAN,TEMP.SD,SOIL.PH,SOIL.C,SOIL.N,SOIL.CN
Plot_62,Site_58,0.28133843264203584,0.9032040823314509,0.22454408596690859,0.04554832047829925,15.285118073529743,3.484097387192301,4.37,14.7005,0.73105,20.108747691676356
Plot_63,Site_58,0.3033441222380441,2.304261517728673,0.19035159339528349,0.03560036258911151,15.20627827811666,3.4987567871120397,4.46,16.4565,0.7664,21.472468684759914
Plot_64,Site_58,0.3336681376500631,2.519371244135345,0.2295817140059441,0.045829516712232655,15.316189411520368,3.5288542205986237,4.44,16.9115,0.8013,21.105079246224886
Plot_65,Site_58,0.31420513461746813,0.5825228076494188,0.1864074794685261,0.04952249176740168,15.474780263611741,3.6762229727421762,4.61,15.973,0.7517499999999999,21.24775523777852
Plot_66,Site_58,0.29067347531195586,2.6008639492555288,0.20975737722952015,0.046629831098849564,15.739157531351148,3.6605089720184765,4.31,13.828,0.67145,20.59423635415891
Plot_67,Site_100,0.5266320274064695,2.8609385435886985,0.20139085537280887,0.04191457615975491,13.539450558923612,3.553889602038984,4.4,17.422499999999996,1.12145,15.535690400820362
Plot_68,Site_100,0.7647350751740051,2.5400914871819493,0.20981345433454748,0.027719047406270344,13.699791346164394,3.5834866562605283,4.23,19.0705,1.2531999999999999,15.217443345036706
Plot_69,Site_100,1.0272484486037496,3.597729169134089,0.2149789615493865,0.03958449026046273,13.544883505442282,3.415018381932071,4.44,20.309,1.45015,14.004758128469469
Plot_70,Site_100,0.8605032163994947,4.357517226262813,0.2382970909850803,0.053830668542409234,13.529903603413869,3.3600921255674883,4.74,25.705,1.8787500000000001,13.681969394544243
Plot_71,Site_100,0.6647342550466399,3.489154308181457,0.23308483628043655,0.058747577825207224,13.701709636083983,3.4300170007089927,5.18,27.6215,1.71265,16.12793040025691
Plot_72,Site_100,0.5635841060637173,2.770053460044826,0.22809904654408292,0.04636675773151773,13.673564427532009,3.589694334785983,5.38,22.831,1.7140499999999999,13.319914821621307
