Annotations/Genomes	Agahy1	Atrsp2	Chiap1	Chicu1	Croqu1	Eryha1	Hetpy1	Hyabl1	Leucr1	MecolCla_1	Melame1	Melap1finSC_191	Melli1	Melli2_A	Melli2_B	Mellp2_3	Melme_tre1	Melmed1	Mereb1	Micin1	Micld1	Mixos1	Naifl1	Naose1	ObeP2C70	Pgt_201_A1	Pgt_201_B1	Pgt_Ug99_A1	Pgt_Ug99_C1	Phapa1	PhapaK8108	Phlfa1	PpacPPUFV02	PuccoNC29_1	PuccoSD80_1	Pucgr2	Pucso1	Pucst1	Pucst_PST78	Pucst_PST78_1	Pucstr1	Puctr1	Puctri1	RhoCCFEE5036_1	Rhoba1_1	Rhodia1_1	RhodotJ31_1	Rhoglu1	Rhoglu91_1	Rhomi1	Rhomuc1	Rhosp1	Rhota1	Rhoto1	Rhoto_ATCC26217_1	Rhoto_IFO0559_1	Rhoto_IFO0880_2	Rhoto_IFO0880_4	Rhoto_IFO1236_1	Sepsp1	Slopil1	Slotsu1	Spogra1_1	Spoli1	Spopa1	Sporo1	Trisp1	Annotation Description
GH13	2	8	5	4	6	9	4	4	5	18	7	10	7			9	9	11	15		8	3	5	4	11	10	10	10	7	9	7	3	7	11	8	6		7		5	11	7			3	4	5	4	4	8	5	5		4	4	5	4	4	4	10	7	5	8	6	4	4	2	Glycoside Hydrolase Family 13
GH13_4						1													1						1																									1													1					Glycoside Hydrolase Family 13 / Subf 4
GH13_5		1	1	1	1	1	1	1	1	3	1	2	1			1	2	2	1		1	1	2	1	1																				1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	2	1	1	1	1		Glycoside Hydrolase Family 13 / Subf 5
GH13_8	1	2	2	1	1	1	1	1	1	2	1	1	1			1	1	1	1		1	1	1	1	1	3	6	3	1	1	1	1	1	3	3	1		1		1	2	2			1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	Glycoside Hydrolase Family 13 / Subf 8
GH13_10																																																																1				Glycoside Hydrolase Family 13 / Subf 10
GH13_22					1					5	2	2	2			2	3	2	1						2	5	2	3	3	4	3		2	5	3	2		3		2	4	3																		4				1				Glycoside Hydrolase Family 13 / Subf 22
GH13_25	1	1	1	1	1	1	1	1	1	3	1	1	1			2	1	2	1		1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1		2		1	3	1			1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	Glycoside Hydrolase Family 13 / Subf 25
GH13_32		2			2	1			1	5	2	4	2			3	2	4	3						2	1	1	3	2	3	2	1	3	2	1	1		1		1	2	1																		2			1	1				Glycoside Hydrolase Family 13 / Subf 32
GH13_40		2	1	1		4	1	1	1										7		5			1	3																					1	2	1	1	4	2	2		1	1	2	1	1	1	1	4	1	3		1	1		Glycoside Hydrolase Family 13 / Subf 40
GH15	2	3	2	2	3	2	2	2	2	7	3	8	3			3	4	5	4		3	1	1	2	3	4	3	5	3	2	2	1	2	5	5	3		3		3	9	3			2	2	2	2	2	2	2	2		2	2	2	2	2	2	1	5	3	2	1	3	3	1	Glycoside Hydrolase Family 15
GH16	14	13	7	9	9	14	12	12	28	23	14	13	10			11	14	15	20		4	7	11	13	22	11	8	10	10	7	8	9	7	19	14	9		12		13	22	9			16	2	12	11	10	13	12	10		11	11	11	12	12	11	6	15	17	14	8	23	17	12	Glycoside Hydrolase Family 16
GH17	2	3	5	4	4	2	3	3	2	5	2	3	2			2	3	3	6		3	3	2	1	4	3	3	3	4	6	6	4	8	4	3	2		5		4	8	2			1	1	1	1	1	1	1	1		1	1	1	1	1	1	2	5	4	2	8	3	1	2	Glycoside Hydrolase Family 17
