Annotations/Genomes	Ambph1	Artfe1_2	Arxad1	Ascru1	Ashgo1_1	Babin1	Botmuc1	Brebr1	Canalb1	Canar1	Canbo1	Canca1	Candu1	Canma1	Canmem1	Canor1	Canpa1	Canta1	Cante1	Cantr1	Cantro1	Cepal1_1	Cepfr1_1	Citma1	Clalu1_2	ClaluMJ12_1	Cybfa1	Cybja1	Debfa1	Debha1	Debsub1	Dekbr2	Erecy1	Erego1	Galgeo1	Hangu1	Hanne1	Hanop1	Hanos1	Hanpo2	Hanuv1	Hanva1_1	Hanva2	Hypbu1	IsorIO21_1	Isori2	Issori2	Issorie2	Kazaf1	Kazna1	Kludo1	Klula1	Kluma1	Klumarx1	Kurca1	LacCBS6924_1	Lacda1	Lacfe1	Lacla1	Lacme1	Lacmi1	Lacno1	Lacqu1	Lacth1	Lipst1_1	Lodelo1	Metbi1	Metbi_SCcomb	Metfru2	Metgru1	Metko1	Metpul1	Metpul1_1	Metreu1	Metvi1	MetyHQL305_1	MetyHQL305_1_1	Meygui1	Milfa1	Mranc1	Myxme1	Nadfu1	Nakbac1	Nakdel1	Nakwi1	Nauca1	Nauda1	Ogapa1	Pacta1_2	Petxy1	Pickud1	Picme2	Picpa1	Picst3	SacAshbya_1	Sacarb1	Sacboulardii_1	Sacca1	Sacce1	SacceM3707_1	SacceM3836_1	SacceM3837_1	SacceM3838_1	SacceM3839_1	SacceYB210_1	SacceYB210_1_copy	Saceu1	Sacku1	Satdi1	Schama1	Schcoi1	Schcry1	Schgos1	Schill1	Schill1_1	Schins1	Schlig1	Schlign1	Schque1	Schseg1_1	Schshe1	Schsti1	Schvir1	Schvir1_1	Schxyl1	Spaarb1	Spapa3	Spasuh1_1	Spola1	Stabo1	Staflo2	Sugame1	Sugli1	Symat1	Tetbla1	Tetpha1	Torde1	Tripe1	Vanpo1	Wican1	Wicdo1	Wicso1	Yarli1	YarliW29	YarliW29_1	YarliY64008_1	YarliYB392	YarliYB419	YarliYB420	YarliYB566	YarliYB567	YarliYlCW001	Yarlip1	YarlipO1F2	Zyghe1_2	Zygro1	Zygrou1	Annotation Description
CBM18	3	1	2	1	1	1	1		1		1	1						2	2			2	2		1	1		2		2	2				2							1	1	1		1	1	1	2			2		2	1										6	1	1	1		3		2	2	1	1	2	2	2		2	7	1										1	1	1					2	2	2	2	2	2	1						1			1	1				1	1		1	2	2		2	2	1	1	1	2	2					2	2		2	1		1	1		1	1	1	1	1	1	1	1	1	2	2	2	Carbohydrate-Binding Module Family 18
CBM19	2	2	1				1			1	1	1										1	1					1							3					1		1	1		1	1	1	1	2			1		1	1										1																	1							1										1	1	1	1	1	1	1																								1								1			2	1		1	1		1	1	1	1	1	1	1	1	1		1	1	Carbohydrate-Binding Module Family 19
CBM21	2	2	2	2	2	2	1		2	2	2	1						2	2			2	2		2	2		2		2	2	2			2		2			2		1	1	1	2	2	1	2	3			2		2	1										3	2	2	1		2		2	2	1	2	2	2	2		2	1	2							2			2	2	2					4	4	4	4	4	4	2						2			2	2				2	2		2	2	2		2	1	2	2	1	1	1					2	1		4	1		1	1		1	1	1	1	1	1	1	1	1	1	2	2	Carbohydrate-Binding Module Family 21
CBM24																																																																	4																																																																																													Carbohydrate-Binding Module Family 24
CBM32			1				1																																																										2																2	1																																																								1																	1			Carbohydrate-Binding Module Family 32
CBM38																																																																	6																																																																																													Carbohydrate-Binding Module Family 38
CBM43	3	2	1	2	3	2	1		3	3	2	1						2	3			3	3		2	2		3		2	2	3			2		2			3		2	2	1	2	2	2	2	3			3		3	2											2	3	3		4	1	3	3	3	3	3	3	2		3		1							3			3	3	3					2	2	2	2	2	2	2						3			3	3				3	3		3	3	3		3	3	3	1	1	1	1					2	1		3	1		1	1		1	1	1	1	1	1	1	1	1	1	2	2	Carbohydrate-Binding Module Family 43
CBM48	4	5	4	3	5	3	4		5	4	4	3						4	5			5	5		4	4		4		5	4	5			5		4			5		3	3	3	4	5	4	4	6			3		4	4										3	4	5	5		4		3	3	3	3	4	3	5		5	3	5							5			5	3	5					6	6	6	6	6	6	5						5			3	3				5	5		5	3	3		4	5	3	5	2	1	2		1			6	5		5	3		4	4		4	4	4	4	4	4	4	4	4	2	4	5	Carbohydrate-Binding Module Family 48
CBM50																														1	1																																		1					1																																																								1	1	1			1																											Carbohydrate-Binding Module Family 50
CBM67																																																																																	1																																																																													Carbohydrate-Binding Module Family 67
CE	2	1	5	2	1	2	1		2	3	3	2						2	5			2	2		2	2		1		2	2	3			2		1			3		1	1	1	3	3	3	3	1			1		1	2										4	1	2	1		2		2	2	1	2	2	2	2		3	5	2							3			3	1	3					2	2	2	2	2	2	2						2			3	3				2	3		3	3	3		3	3	3	1	1	1	4					1	2		1	3		2	2		2	2	2	2	2	2	2	2	2	5	1	1	Carbohydrate Esterase family
CE3																																																																	2																																																																																													Carbohydrate Esterase Family 3
CE4	1	1	1	2	1	1	1		1	3	2	2						1	4			1	1		1	1		1		1	1	2			2		1			3		1	1		1	1	1	1	1			1		1	1										2		1	1		1		1	1		1	1	1	1		1	4	2							1			2	1	2					2	2	2	2	2	2	2						1			2	2				1	2		2	2	2		2	2	2	1	1	1	2					1	1		1	2		1	1		1	1	1	1	1	1	1	1	1	4	1	1	Carbohydrate Esterase Family 4
CE5			3																																																																																																																																																											Carbohydrate Esterase Family 5
CE9	1		1			1			1		1							1	1			1	1		1	1				1	1	1												1	2	2	2	2							1											1	1			1		1	1	1	1	1	1	1		2									2			1		1																	1			1	1				1	1		1	1	1		1	1	1				1						1					1	1		1	1	1	1	1	1	1	1	1	1			Carbohydrate Esterase Family 9
CE14																																																																																																																																													1																	Carbohydrate Esterase Family 14
CE15																																																																																																																																				1																										Carbohydrate Esterase Family 15
CE16																																																																																	1																																																																													Carbohydrate Esterase Family 16
EXPN	4	3	1	2		1			1	1	1							1	1			2	1		1	1				1	1	2			2					1				1	1	1	1	1							1										1	2	1	1		2		5	5	2	4	3	4			7		1							1			1	1	1																	1			1	1				1	1		1	1	1		1	1	1	2	1	1	3						2			1		1	1		1	1	1	1	1	1	1	1	1	1			Distantly related to plant expansins
GH	91	84	87	62	43	58	43		57	52	42	42						53	67			57	57		58	52		56		79	75	49			76		32			46		36	33	37	40	40	40	41	46			45		43	73										114	45	50	47		60	3	59	58	51	54	57	56	68		74	74	41							50			44	38	71					52	52	52	50	52	54	53						62			70	70				65	73		74	79	80		64	66	64	42	30	31	73		16			43	114		65	34		53	56		55	54	54	54	54	54	52	55	55	71	40	42	Glycoside Hydrolase family
GH1			8			1												1																										1											3																							1			1																																																			1						5																				Glycoside Hydrolase Family 1
GH2	1		3			1			1										3			1	1		1	1		1		2	3	2												2								1		1	2										3	1												3			1								1					3																	3			2	2				3	3		3	3	3		1	1	1				3						4																	2			Glycoside Hydrolase Family 2
GH3	10	1	8	1		6	1		3	4	1	1						3	5			3	2		4	4		5		4	6	3			2		2			3		3	3	1	2	2	2	2				3		1	10										6	1	5	1		4		4	4	4	4	4	4	6		7	5	1							4			1	1	8																	8			8	8				9	7		9	7	7		6	8	7	1	1		6		1				6		6			6	6		6	6	6	6	6	6	6	6	6	7			Glycoside Hydrolase Family 3
GH5	9	5	6	7	4	5	3		5	4	4	3						5	7			6	4		5	5		6		6	6	4			8					4				3	4	4	4	4	7			3		3	5										7	4	7	4		6		7	7	6	8	7	7	6		10	7	4							3			4	4	7					5	5	5	5	5	5	5						6			7	7				6	7		7	6	6		6	6	6	3	3	3	7					4	4		4	3		4	4		4	4	4	4	4	4	4	4	4	6	4	4	Glycoside Hydrolase Family 5
GH5_9	2	3	3	4	2	2	1		3	2	2	1						2	3			2	2		2	2		2		3	3	2			3					2				1	2	2	2	2	3			1		1	2										3	2	2	2		2		2	2	2	2	2	2	2		3	3	1							1			2	2	2					3	3	3	3	3	3	3						3			2	2				3	2		2	3	3		3	3	3	1	1	1	2					2	2		2	2		1	1		1	1	1	1	1	1	1	1	1	2	2	2	Glycoside Hydrolase Family 5 / Subf 9
